job_title,location,city,salary_raw,salary_annual_inr
Full stack Developer Fresher,"Saravanampatti, Coimbatore, Tamil Nadu",Saravanampatti,"₹5,000 - ₹10,000 a month",90000.0
Software Developer (ASP.Net),"Gurugram, Haryana",Gurugram,Not specified,
Urgent Hiring for Software Tester ( QA ) Fresher,"Ahmedabad, Gujarat",Ahmedabad,"₹1,20,000 - ₹1,35,000 a year",127500.0
Angular Developer – Fresher,"Bengaluru, Karnataka",Bengaluru,Not specified,
Front End Developer,"Vadodara, Gujarat",Vadodara,Not specified,
Salesforce Developer,"Indore, Madhya Pradesh",Indore,Not specified,
Embedded Software Developer,"Vadodara, Gujarat",Vadodara,Not specified,
Backend Developer,"Egmore, Chennai, Tamil Nadu",Egmore,"From ₹19,500 a month",234000.0
Software Developers Java,"Chennai, Tamil Nadu",Chennai,Not specified,
Software Developer Intern,"Noida, Uttar Pradesh",Noida,Not specified,
Developer - FullStack (Python),"Bengaluru, Karnataka",Bengaluru,Not specified,
Software Test Engineer,"Bengaluru, Karnataka",Bengaluru,"Up to ₹3,00,000 a year",300000.0
Python Developer,"Trichur, Kerala",Trichur,Not specified,
MERN Stack Fresher,"Thane, Maharashtra",Thane,"₹12,000 - ₹25,000 a month",222000.0
FRONT END DEVELOPER,"Pune, Maharashtra",Pune,Not specified,
Mobile App Developer - Freshers,"Banaswadi, Bengaluru, Karnataka",Banaswadi,Not specified,
"ReactJS Developer(hiring Freshers ,looking for female candidates)","Gurugram, Haryana",Gurugram,"₹15,000 - ₹40,000 a month",330000.0
Innobot Health is hiring for freshers as Trainee RPA Developer,"Mysuru, Karnataka",Mysuru,"₹15,173.42 - ₹35,001.02 a month",301047.0
Full Stack Dot.Net Developer (FRESHERS),"Kochi, Kerala",Kochi,Not specified,
Software Developer Trainee,"Meerut, Uttar Pradesh",Meerut,Not specified,
Fresher / Jr.Software Developer,Gujarat,Gujarat,"₹7,000 - ₹15,000 a month",132000.0
Software Developer,"Vadodara, Gujarat",Vadodara,Not specified,
Software Developer (.Net),"Coimbatore, Tamil Nadu",Coimbatore,"₹15,000 - ₹20,000 a month",210000.0
Software Developers,"Thane, Maharashtra",Thane,Not specified,
Java Developer,"Chennai, Tamil Nadu",Chennai,"₹1,80,000 a year",180000.0
Software Developer,"Arera Colony, Bhopal, Madhya Pradesh",Arera Colony,"₹12,000 - ₹25,000 a month",222000.0
Intern Software Developer [Local Vadodara Only],"Vadodara, Gujarat",Vadodara,Not specified,
Software Engineer Trainee,"Kochi, Kerala",Kochi,"₹1,50,000 - ₹1,80,000 a year",165000.0
Technical Support Engineer,"Raigarh Fort, Maharashtra",Raigarh Fort,"₹8,000 - ₹12,000 a month",120000.0
Network Support Engineer,"Kolkata, West Bengal",Kolkata,"₹8,000 - ₹20,000 a month",168000.0
Jr. Software Engineer,"Dehra Dun, Uttarakhand",Dehra Dun,"₹10,000 - ₹22,000 a month",192000.0
Full Stack Developer,"Calicut, Kerala",Calicut,Not specified,
Internship Network Engineer,"Saibaba Colony, Coimbatore, Tamil Nadu",Saibaba Colony,"₹10,000 a month",120000.0
Embedded Software Engineer,"Visakhapatnam, Andhra Pradesh",Visakhapatnam,"From ₹8,086 a month",97032.0
Software Engineer- DevOps,"Bengaluru, Karnataka",Bengaluru,Not specified,
Software Engineer - Data Engineer,"Bengaluru, Karnataka",Bengaluru,Not specified,
Technical Support Engineer,"Bengaluru, Karnataka",Bengaluru,"₹2,50,000 - ₹3,00,000 a year",275000.0
Software Engineer - Fullstack,"Bengaluru, Karnataka",Bengaluru,Not specified,
Software Test Engineer (QA),"Kolkata, West Bengal",Kolkata,Not specified,
UI/UX Designer,"Mohali, Punjab",Mohali,"₹12,613.13 - ₹15,000.00 a month",165679.0
IT Field Service Engineer,"Marol Naka, Mumbai, Maharashtra",Marol Naka,"₹15,000 - ₹25,000 a month",240000.0
iOS Application Developer,"Noida, Uttar Pradesh",Noida,"Up to ₹60,000 a month",720000.0
Hardware & Network Engineer Fresher,"Indore, Madhya Pradesh",Indore,"₹5,000 - ₹6,000 a month",66000.0
Associate Software Engineer- (1 - 3 yrs.),"Kochi, Kerala",Kochi,Not specified,
QA Trainee,"Noida, Uttar Pradesh",Noida,Not specified,
Full Stack Developer,"Airoli, Navi Mumbai, Maharashtra",Airoli,"₹10,37,031.81 - ₹17,02,419.63 a year",1369726.0
Sr. Software Engineer (Team Lead),"Gurugram, Haryana",Gurugram,"₹30,00,000 - ₹40,00,000 a year",3500000.0
QA QA Engineer (Automation),"Rajkot, Gujarat",Rajkot,Not specified,
DOT NET WEB DEVELOPER,"Bengaluru, Karnataka",Bengaluru,Not specified,
Android Developer (JAVA/ XML/ SQLite/ Realm Java/ Retrofit),"Chennai, Tamil Nadu",Chennai,Not specified,
iPhone Developer,"Coimbatore, Tamil Nadu",Coimbatore,Not specified,
Jr. IOS Developer (Immediate Joinee),"Bhugaon, Pune, Maharashtra",Bhugaon,Not specified,
Web/PHP CodeIgniter Developer,"Mira Road, Mumbai, Maharashtra",Mira Road,"₹2,40,000 - ₹8,00,000 a year",520000.0
Business Analyst – Content Developer Kolkata,"Kolkata, West Bengal",Kolkata,Not specified,
Angular Developer (Experienced),"Hyderabad, Telangana",Hyderabad,Not specified,
Ruby on Rails (ROR) Developer (Freshers welcome),"Gurugram, Haryana",Gurugram,Not specified,
iOS Developer,"Rajkot, Gujarat",Rajkot,Not specified,
PHP Developer,"Thane, Maharashtra",Thane,Not specified,
Software Tester Trainer,"Navrangpura, Ahmedabad, Gujarat",Navrangpura,"₹5,000 - ₹8,000 a month",78000.0
UX- Figma Developer,"Noida, Uttar Pradesh",Noida,Not specified,
iOS Development,"Bengaluru, Karnataka",Bengaluru,Not specified,
IOS Developer,"Mohali, Punjab",Mohali,"₹10,000 - ₹50,000 a month",360000.0
WordPress Developer,"Aurangabad, Maharashtra",Aurangabad,Not specified,
Flutter Developer,"Mohali, Punjab",Mohali,"₹10,000 - ₹20,000 a month",180000.0
Python Developer,"Chennai, Tamil Nadu",Chennai,"₹1,80,000 a year",180000.0
Electronics/Embedded Internship,"Mumbai, Maharashtra",Mumbai,Not specified,
ASP .Net Web Developer,"Ludhiana, Punjab",Ludhiana,Not specified,
Backend Developer,"Egmore, Chennai, Tamil Nadu",Egmore,"From ₹19,500 a month",234000.0
Web Developer (Intern),"Navi Mumbai, Maharashtra",Navi Mumbai,Not specified,
Software Developers Java,"Chennai, Tamil Nadu",Chennai,Not specified,
Junior Web Developer (Trainee),"Bengaluru, Karnataka",Bengaluru,Not specified,
Web developer,"Mumbai, Maharashtra",Mumbai,Not specified,
Software Developers,"Bhopal, Madhya Pradesh",Bhopal,Not specified,
Software Engineer / Developer (.Net Technologies),"Mumbai, Maharashtra",Mumbai,Not specified,
Trainee Software Developer Fresher,"Vadodara, Gujarat",Vadodara,Not specified,
Software Developer Intern,"Noida, Uttar Pradesh",Noida,Not specified,
Developer - FullStack (Python),"Bengaluru, Karnataka",Bengaluru,Not specified,
Python Developer,"Saket, Delhi, Delhi",Saket,Not specified,
Software Test Engineer,"Bengaluru, Karnataka",Bengaluru,"Up to ₹3,00,000 a year",300000.0
Python Developer,"Trichur, Kerala",Trichur,Not specified,
MERN Stack Fresher,"Thane, Maharashtra",Thane,"₹12,000 - ₹25,000 a month",222000.0
Business Analyst Intern,"Gurugram, Haryana",Gurugram,"₹17,500 a month",210000.0
FRONT END DEVELOPER,"Pune, Maharashtra",Pune,Not specified,
Mobile App Developer - Freshers,"Banaswadi, Bengaluru, Karnataka",Banaswadi,Not specified,
"ReactJS Developer(hiring Freshers ,looking for female candidates)","Gurugram, Haryana",Gurugram,"₹15,000 - ₹40,000 a month",330000.0
Innobot Health is hiring for freshers as Trainee RPA Developer,"Mysuru, Karnataka",Mysuru,"₹15,173.42 - ₹35,001.02 a month",301047.0
Full Stack Dot.Net Developer (FRESHERS),"Kochi, Kerala",Kochi,Not specified,
Jr. IOS Developer (Immediate Joinee),"Bhugaon, Pune, Maharashtra",Bhugaon,Not specified,
Sr. Android Developer (Immediate Joiner),"Bhugaon, Pune, Maharashtra",Bhugaon,Not specified,
Support Executive,"Mumbai, Maharashtra",Mumbai,Not specified,
Smart PHP Developer,"Surat, Gujarat",Surat,Not specified,
Sr. iOS Developer,"Katargam, Surat, Gujarat",Katargam,"₹25,000 - ₹50,000 a month",450000.0
IOS Developer,"Indore, Madhya Pradesh",Indore,Not specified,
PHP Developer (6 months to 2 years),"Mohali, Punjab",Mohali,Not specified,
React Native Developer,"Kolkata, West Bengal",Kolkata,Not specified,
IOS/Android Developer,"Thiruvananthapuram, Kerala",Thiruvananthapuram,Not specified,
ASP.NET Developer,"Konnagar, West Bengal",Konnagar,"₹8,000 - ₹12,000 a month",120000.0
Graphic & Web Designer,"Mohali, Punjab",Mohali,"₹10,000 - ₹20,000 a month",180000.0
Wordpress Developer,"Ambala, Haryana",Ambala,"₹5,000 - ₹8,000 a month",78000.0
Junior PHP Developer,"Indore, Madhya Pradesh",Indore,"₹7,000 - ₹10,000 a month",102000.0
Perl Developer,"Ahmedabad, Gujarat",Ahmedabad,"₹1,75,000 - ₹2,75,000 a year",225000.0
Flutter DEVELOPERS” (Mobile App Developer),"Palghar, Maharashtra",Palghar,Not specified,
PHP Developer,"Udaipur, Rajasthan",Udaipur,Not specified,
PHP Developer,"Ludhiana, Punjab",Ludhiana,Not specified,
ASP.NET developer,"Ambala, Haryana",Ambala,Not specified,
Laravel Developer,"Sahibzada Ajit Singh Nagar, Ludhiana, Punjab",Sahibzada Ajit Singh Nagar,Not specified,
PHP/CI Developer,"Bhankrota, Jaipur, Rajasthan",Bhankrota,"From ₹15,000 a month",180000.0
AWS Cloud Engineer Immediate Joiners,"Nashik, Maharashtra",Nashik,Not specified,
Application Engineer,"Yeshwanthpur, Bengaluru, Karnataka",Yeshwanthpur,"₹2,40,000 - ₹3,50,000 a year",295000.0
Embedded Software Engineer (Fresher),"Indiranagar, Bengaluru, Karnataka",Indiranagar,"₹5,000 - ₹15,000 a month",120000.0
Associate Software Engineer - On Job Training (OJT) Program,"Malkajgiri, Hyderabad, Telangana",Malkajgiri,"From ₹1,20,000 a year",120000.0
Machine Learning Engineer,"Tambaram West, Chennai, Tamil Nadu",Tambaram West,"From ₹12,000 a month",144000.0
Automation Test Engineer,"Noida, Uttar Pradesh",Noida,"Up to ₹35,000 a month",420000.0
Software Developer,"Gandhidham, Gujarat",Gandhidham,"₹1,80,000 a year",180000.0
Embedded Engineer,"Ambattur, Chennai, Tamil Nadu",Ambattur,"₹20,000 - ₹25,000 a month",270000.0
Software Engineer,"Calicut, Kerala",Calicut,"₹12,000 - ₹15,000 a month",162000.0
Python Backend Developer,"Ahmedabad, Gujarat",Ahmedabad,"₹12,000 - ₹50,000 a month",372000.0
Technical Support Engineer,"Egmore, Chennai, Tamil Nadu",Egmore,"₹20,000 - ₹35,000 a month",330000.0
Systems Engineer,India,India,Not specified,
STE (Software Test Engineer) | STAE ( Software Test Automation Engineer ),"Hyderabad, Telangana",Hyderabad,Not specified,
L1 Engineer (Hyderabad and Bangalore location),"Hyderabad, Telangana",Hyderabad,"Up to ₹1,80,000 a year",180000.0
Software Engineer Java BE,"Hyderabad District, Telangana",Hyderabad District,Not specified,
Design Engineer (CATIA Software) Female candidate only,"Pune, Maharashtra",Pune,"₹12,000 - ₹15,000 a month",162000.0
TECHNICAL LEAD,"Noida, Uttar Pradesh",Noida,Not specified,
Technical Support Engineer Trainee,"Chennai, Tamil Nadu",Chennai,"₹12,000 - ₹15,000 a month",162000.0
Senior Platform Engineer,"Thiruvananthapuram, Kerala",Thiruvananthapuram,Not specified,
Android Developer,"Mahesana, Gujarat",Mahesana,"₹7,000 - ₹10,000 a month",102000.0
Backend Developer,"Egmore, Chennai, Tamil Nadu",Egmore,"From ₹19,500 a month",234000.0
Dot Net Developer - Fresher,"Mumbai, Maharashtra",Mumbai,Not specified,
ASP.NET Developer Freshers,"Ahmedabad, Gujarat",Ahmedabad,Not specified,
Jr. Flutter Developer (Fresher),"Indore, Madhya Pradesh",Indore,Not specified,
Web Developer,"Thane, Maharashtra",Thane,"₹15,000 - ₹20,000 a month",210000.0
Full Stack Developer (Node / Mongo / React),"Chennai, Tamil Nadu",Chennai,Not specified,
.Net Developer (Software Engineer - .Net),"Ahmedabad, Gujarat",Ahmedabad,Not specified,
.Net Developer (Software Engineer - .Net),"Ahmedabad, Gujarat",Ahmedabad,Not specified,
Trainee GIS Application Developer,"Hyderabad, Telangana",Hyderabad,Not specified,
Looking for Node Js Developer,"Bhilai, Chhattisgarh",Bhilai,"₹20,000 - ₹35,000 a month",330000.0
Software Engineer / Developer (Laravel and Angular framework),"Mumbai, Maharashtra",Mumbai,Not specified,
Full Stack Developer,"Mumbai, Maharashtra",Mumbai,"₹15,000 - ₹20,000 a month",210000.0
Web Developer,"Noida, Uttar Pradesh",Noida,Not specified,
WordPress Developer,"Thergaon, Pune, Maharashtra",Thergaon,Not specified,
Junior ASP.NET Developer,"Surat, Gujarat",Surat,Not specified,
React JS Developer 3-5 Years,"Bengaluru, Karnataka",Bengaluru,"₹4,00,000 - ₹8,00,000 a year",600000.0
Junior PHP Developer,"Bengaluru, Karnataka",Bengaluru,Not specified,
Angular Developer,"Navi Mumbai, Maharashtra",Navi Mumbai,"₹2,55,123.16 - ₹10,50,925.25 a year",653024.0
Junior PHP Developer,"Delhi, Delhi",Delhi,Not specified,
Flutter Developer (Intern),"Noida, Uttar Pradesh",Noida,"₹2,00,000 - ₹3,00,000 a year",250000.0
